Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
CAMILLE SMITH,CON,2016,F,Secondary Creator/Distributor,-4.5746900394120456,-0.7197202242966544,815.1
ISABELLE HARRISON,CHI,2024,F,Interior Primary Option,-4.577997291732169,-5.055725953007437,586.8000000000001
EDWINA BROWN,DET,2000,SG,Secondary Creator/Distributor,-4.58263096362985,-4.3886147490379175,624.0
KORIE HLEDE,DET,1998,G,Primary On-Ball Creator,-4.596493345170135,0.0598583058577362,912.6
KELLY SCHUMACHER,PHO,2007,C,Roller/Cutter,-4.597870050379123,-4.112159627825494,544.0
ODYSSEY SIMS,CON,2022,G,Secondary Creator/Distributor,-4.5980296564693655,-0.6750306166867276,145.6
MARLIES ASKAMP,LAS,2002,C,Roller/Cutter,-4.601926266246746,-7.429037012076098,286.0
TAMMY SUTTON-BROWN,IND,2009,C,Interior Primary Option,-4.601989608434975,-4.729095733715112,680.4
DOMINIQUE CANTY,DET,2001,G,Interior Primary Option,-4.603761199381175,-3.445522846140336,624.0
RUTH RILEY,DET,2005,C,Perimeter-Oriented Big/Wing,-4.603940817741529,-6.965638289441271,861.3000000000001
KELLY SCHUMACHER,DET,2009,C,Secondary Creator/Distributor,-4.605376315009427,-26.21992152472984,9.9
COCO MILLER,ATL,2009,G,Secondary Creator/Distributor,-4.60708005924817,-7.19627308013847,408.0
ANETE JEKABSONE-ZOGOTA,CON,2009,G,Spot-up Shooter,-4.607492771084555,-2.5951469161037775,642.6
IVORY LATTA,WAS,2016,G,Spot-up Shooter,-4.6085216464874055,1.6857601670264308,457.6
CANDICE WIGGINS,TUL,2013,G,Spot-up Shooter,-4.609253020613974,0.2452370914244098,876.8
TONI FOSTER,PHO,1999,PowerF,Roller/Cutter,-4.610443740023995,13.92233672876621,43.0
TANISHA WRIGHT,NYL,2016,G,Secondary Creator/Distributor,-4.615571862848785,-1.4106553143207616,667.0
MICHAELA ONYENWERE,CHI,2024,F,Secondary Creator/Distributor,-4.617946423967548,-2.248466753743823,635.8
CLARISSE MACHANGUANA,CHA,2001,PowerF,Roller/Cutter,-4.6223160147059135,0.5211768687930115,579.0
