Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
PIETRA GAY,1997,SG,Secondary Creator/Distributor,3.3244559725360725,2.6134287954969495,-13.876244823605997,22.038851503614207
NIKKI BLUE,2006,G,Secondary Creator/Distributor,3.3174666709055467,6.892474704379208,-2.8229747756726553,-0.29468135606273194
ASHLEY WALKER,2019,PowerF,Secondary Creator/Distributor,3.316817944053332,-18.221432221266504,-7.1811609696519465,-57.48555069127829
TAMMY JACKSON,1999,PowerF,Roller/Cutter,3.278350000141165,3.762844783928244,0.24195203548550825,-0.3156786102783333
DALMA IVANYI,1999,G,Secondary Creator/Distributor,3.249479450652067,-5.427555509448696,-5.334096570461344,-33.21387985301551
ALISON BALES,2010,C,Roller/Cutter,3.2179456878887627,9.715931983330693,-2.915736377086627,9.632636473187441
ALISIA JENKINS,2020,F,Roller/Cutter,3.2148408645804474,7.72515527549912,-11.355188939179415,-28.091313474018307
TAKEISHA LEWIS,2002,PowerF,Roller/Cutter,3.2046783871107793,7.998775881568114,-17.56910812060203,31.043516989801436
GORDANA GRUBIN,2005,G,Secondary Creator/Distributor,3.195672198584279,21.153709992804988,-4.217176010884065,18.18287949257694
AYANA WALKER,2007,F,Roller/Cutter,3.1852265603639394,-10.089347334483753,-5.0007144890730215,-14.725214721990199
SLOBODANKA TUVIC,2004,C,Roller/Cutter,3.181137326746184,6.762139459044899,-3.1245047768058023,-2.4492490101941424
ALEX HARDEN,2015,G,Secondary Creator/Distributor,3.166403345745319,7.65369926112223,-0.10254164383753528,8.865545245785706
ARMINTIE HERRINGTON,2009,G,Roller/Cutter,3.163928981943346,-5.999800221107848,2.723702319796214,-3.2160817723521897
STACEY THOMAS,2002,F,Secondary Creator/Distributor,3.1514227635604026,2.9854073063355364,-1.3930500443750153,1.428142814546397
ALLISON FEASTER,2000,F,Spot-up Shooter,3.142056517189032,1.078071576795405,-2.9521232766155303,-3.348982118108479
MARCIE ALBERTS,1997,G,Spot-up Shooter,3.140772325481142,13.865663036005513,0.8681567048150582,-22.006833729435087
OLAYINKA SANNI,2011,PowerF,Roller/Cutter,3.1374263818919172,-15.633955125403178,-7.535450717643565,-27.694117769318016
REBEKAH GARDNER,2023,G,Secondary Creator/Distributor,3.127727573473984,24.261456734226048,-10.641099758119484,-1.5341826658488031
JESSIE HICKS,2001,PowerF,Interior Primary Option,3.1272157588882212,2.5968227162280284,0.035203064021812835,-8.504848899869955
KATASHA ARTIS,1997,F,Secondary Creator/Distributor,3.1131460574301735,7.928710378260514,1.4683278466013396,-12.495608590663807
MISTIE BASS,2015,F,Roller/Cutter,3.1090664794579235,5.050755351271579,-3.649808409059533,-1.8469439461336838
RUTH RILEY,2007,C,Roller/Cutter,3.100689992019524,7.265830810128582,2.2893435058324223,5.542119110690199
STACEY THOMAS,2000,F,Secondary Creator/Distributor,3.0919497502933657,3.7022089055728857,6.481514855312517,11.88244322243499
TIFFANY MCCAIN,2002,G,Secondary Creator/Distributor,3.0859056652766768,-1.561886405094174,-12.10095272515822,-8.830696407339156
BARBARA FARRIS,2009,PowerF,Roller/Cutter,3.0828690592893695,30.52416216361613,-4.87250751469902,4.863604089527559
ERLANA LARKINS,2009,F,Roller/Cutter,3.0538283477803767,5.269137240460979,-1.8443426672754906,4.593853474932845
