Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
DAMIRIS DANTAS,MIN,2014,PowerF,Roller/Cutter,654.0,-4.639108363014869,6.947445969687619
VICTORIA VIVIANS,IND,2023,SG,Spot-up Shooter,672.6,-4.640356576606325,-6.265834973163287
BRIANN JANUARY,CON,2021,G,Secondary Creator/Distributor,875.8,-4.64051222621498,6.167226468547286
BRIA HOLMES,ATL,2016,G,Secondary Creator/Distributor,702.9,-4.641939226547831,-5.877774303470312
TYASHA HARRIS,CON,2023,G,Spot-up Shooter,668.0,-4.643624796065446,0.6068640198755872
FRAN HARRIS,UTA,1998,SG,Secondary Creator/Distributor,351.0,-4.645817118196548,2.4279674234663027
BRITTNEY SYKES,ATL,2017,G,Primary On-Ball Creator,870.4000000000001,-4.646001556789339,-4.081562215721148
PLENETTE PIERSON,TUL,2015,F,Perimeter-Oriented Big/Wing,843.0,-4.649368211974478,1.642694678607676
REBEKKAH BRUNSON,SAC,2005,F,Interior Primary Option,727.5999999999999,-4.651812880068318,-0.7439816581727463
LI MENG,WAS,2023,G,Spot-up Shooter,540.6,-4.655062684807038,3.6102724922848295
KARIMA CHRISTMAS-KELLY,IND,2014,SG,Secondary Creator/Distributor,734.4000000000001,-4.656182354904777,-1.682135998120077
BRIANN JANUARY,IND,2011,G,Secondary Creator/Distributor,286.0,-4.657251176443037,6.648426643657949
KELLEY GIBSON,HOU,2000,SG,Spot-up Shooter,73.1,-4.657889573381263,-3.5949102581275247
NADIA COLHADO,ATL,2014,C,Roller/Cutter,126.4,-4.658059762313243,-0.6390723202165987
TEMEKA JOHNSON,SEA,2014,G,Primary On-Ball Creator,578.0,-4.661304035608675,-5.512452155622616
BARBARA TURNER,CON,2009,SG,Spot-up Shooter,143.5,-4.6721069376020745,5.646797639897323
TIERRA RUFFIN-PRATT,WAS,2018,G,Secondary Creator/Distributor,597.3000000000001,-4.67851653381518,-9.951796039599174
EBONY HOFFMAN,IND,2005,F,Roller/Cutter,498.3,-4.679663048875299,3.3661048568336818
JISU PARK,LVA,2019,C,Roller/Cutter,162.5,-4.680331538495756,1.473361402548102
LAURIE KOEHN,WAS,2007,G,Spot-up Shooter,109.2,-4.683284313748972,-1.496051824149467
BETTY LENNOX,LAS,2009,G,Primary On-Ball Creator,639.0,-4.683285211573751,-2.3998449608380805
A'QUONESIA FRANKLIN,SAC,2008,G,Secondary Creator/Distributor,350.20000000000005,-4.683308601891365,1.1510573220240552
TANISHA WRIGHT,SEA,2012,G,Secondary Creator/Distributor,953.6,-4.683595928622713,0.047613787415363706
RONEEKA HODGES,ATL,2015,G,Spot-up Shooter,448.5,-4.684001019288078,-13.656799865119346
SEVGI UZUN,DAL,2024,G,Secondary Creator/Distributor,820.0,-4.688258060313433,-4.541711502363203
STACEY LOVELACE,CHI,2006,C,Secondary Creator/Distributor,629.0,-4.688457822500581,-8.060113724946124
RUTHIE BOLTON,SAC,2000,G,Primary On-Ball Creator,864.2,-4.688719855422448,2.9600597699194156
ASJHA JONES,CON,2011,F,Perimeter-Oriented Big/Wing,972.4,-4.693413682916162,6.197381779568699
SHANNON BOBBITT,IND,2011,G,Secondary Creator/Distributor,440.2,-4.693580469143127,-2.8605329473343466
OLAYINKA SANNI,DET,2009,PowerF,Roller/Cutter,297.59999999999997,-4.696043499944412,-11.829632920902739
TAMMY SUTTON-BROWN,IND,2008,C,Interior Primary Option,957.0,-4.697365929625944,2.2075596421677153
RONEEKA HODGES,TUL,2014,G,Spot-up Shooter,724.2,-4.69893996838153,-0.4669128020009259
DEARICA HAMBY,SAN,2017,F,Interior Primary Option,686.8,-4.700256507809374,-2.777304497505343
DEWANNA BONNER,PHO,2012,SG,Perimeter-Oriented Big/Wing,1120.0,-4.704306528960309,-2.1346885248430523
LATOYA THOMAS,LAS,2007,F,Secondary Creator/Distributor,467.1,-4.707576772266228,1.201806093960542
KRISTI HARROWER,MIN,2001,G,Secondary Creator/Distributor,71.6,-4.708868574496936,7.030926547004214
CHARDE HOUSTON,MIN,2010,F,Primary On-Ball Creator,758.2,-4.710653362286044,-2.926937484844256
ELENA BARANOVA,NYL,2004,F,Secondary Creator/Distributor,1050.6,-4.712695238422143,-1.49409661586273
JESSICA BRELAND,CHI,2014,F,Interior Primary Option,848.0,-4.714599430577403,-0.8046563482792806
DESTANNI HENDERSON,IND,2022,G,Secondary Creator/Distributor,590.4,-4.716916483986782,-3.6653890373438602
ISABELLE HARRISON,PHO,2016,F,Roller/Cutter,195.0,-4.718262838743403,-10.913100985325556
TIFFANY TRAVIS,CHA,2000,F,Secondary Creator/Distributor,576.0,-4.719808462309422,-6.989137821261291
EPIPHANNY PRINCE,SEA,2020,G,Secondary Creator/Distributor,190.5,-4.721119465871208,-5.22265703159683
SAMI WHITCOMB,SEA,2024,G,Spot-up Shooter,612.0,-4.72212790748654,-0.29994184624680775
CHERYL FORD,DET,2005,F,Interior Primary Option,930.6,-4.722603466127588,7.597460173835753
RANKICA SARENAC,PHO,2000,C,Interior Primary Option,140.0,-4.725657268244114,-5.4440491932243384
KALANI BROWN,LAS,2019,C,Interior Primary Option,378.0,-4.7259770217960915,-7.500051579721898
KRISTINE ANIGWE,DAL,2019,PowerF,Roller/Cutter,251.1,-4.726949254049133,-2.2570303176040403
SLOBODANKA TUVIC,PHO,2003,C,Interior Primary Option,367.2000000000001,-4.7285658601617815,1.5821348202544376
CHENNEDY CARTER,LAS,2022,G,Perimeter-Oriented Big/Wing,393.6,-4.729144056302754,-6.877329375127526
SUMMER ERB,CHA,2000,C,Roller/Cutter,275.5,-4.730564709312414,8.266322866621012
CANDICE WIGGINS,TUL,2013,G,Spot-up Shooter,876.8,-4.731419296248178,-2.276882032759046
BROOKE WYCKOFF,CON,2005,F,Spot-up Shooter,601.8,-4.733096572509677,-2.768980839441028
BRIANN JANUARY,PHO,2019,G,Secondary Creator/Distributor,851.2,-4.73789871120101,-1.3076158520227426
TANISHA WRIGHT,SEA,2007,G,Secondary Creator/Distributor,547.4000000000001,-4.73826712927001,-4.012990969342576
ICISS TILLIS,NYL,2006,PowerF,Roller/Cutter,254.99999999999997,-4.738806234636982,-8.575786969209688
ANA DABOVIC,LAS,2015,G,Secondary Creator/Distributor,530.4000000000001,-4.741446496393054,-4.917556521078295
JENNA O'HEA,SEA,2016,F,Spot-up Shooter,253.0,-4.742874813399116,-7.179579022179535
JANELL BURSE,MIN,2001,C,Roller/Cutter,170.0,-4.747057596994179,3.8357013430226075
ODYSSEY SIMS,CON,2022,G,Secondary Creator/Distributor,145.6,-4.753779121352459,2.064684911559809
TAMIKA RAYMOND,MIN,2005,F,Roller/Cutter,761.5999999999999,-4.7545265731485395,-1.614873520829189
SHAMEKA CHRISTON,SAN,2014,G,Spot-up Shooter,337.90000000000003,-4.758280451724416,-2.2367543454624985
DELISHA MILTON-JONES,LAS,2002,F,Perimeter-Oriented Big/Wing,963.2,-4.760454238073228,3.840580874010885
EDNA CAMPBELL,SAC,2004,G,Spot-up Shooter,330.0,-4.761172963966629,7.250885459206007
CLAUDIA NEVES,DET,2000,G,Spot-up Shooter,633.0,-4.764960335718415,-5.867168891485168
ASHLEY BATTLE,NYL,2007,F,Primary On-Ball Creator,758.2,-4.765150670864006,-3.914402913345417
SHERYL SWOOPES,HOU,2007,SG,Secondary Creator/Distributor,105.9,-4.76762879937816,-21.003623767799514
CAROLYN SWORDS,LVA,2018,C,Roller/Cutter,374.4,-4.769068688241616,4.011120656004653
