,Player,Team,Archetype,year
798,BROOKE WYCKOFF,ORL,Spot-up Shooter,2002
797,BRIDGET PETTIS,IND,Spot-up Shooter,2002
795,BARBARA FARRIS,DET,Roller/Cutter,2002
808,GORDANA GRUBIN,PHO,Primary On-Ball Creator,2002
794,AYANA WALKER,DET,Perimeter-Oriented Big,2002
793,ASTOU NDIAYE-DIATTA,DET,Interior Primary Option,2002
888,SEMEKA RANDALL,UTA,Perimeter-Oriented Big,2002
791,ANDREA STINSON,CHA,Primary On-Ball Creator,2002
790,ALLISON FEASTER,CHA,Spot-up Shooter,2002
789,ALISA BURRAS,POR,Roller/Cutter,2002
788,ADRIENNE JOHNSON,ORL,Spot-up Shooter,2002
787,ADRIENNE GOODSON,UTA,Interior Primary Option,2002
786,ADRIANA MOISES PINTO,PHO,Secondary Creator/Distributor,2002
785,ADRIAN WILLIAMS-STRONG,PHO,Roller/Cutter,2002
807,DEBBIE BLACK,MIA,Roller/Cutter,2002
809,HELEN LUZ,WAS,Spot-up Shooter,2002
833,SIMONE EDWARDS,SEA,Perimeter-Oriented Big,2002
822,MERY ANDRADE,CLE,Perimeter-Oriented Big,2002
832,SHERYL SWOOPES,HOU,Primary On-Ball Creator,2002
831,SHERI SAM,MIA,Primary On-Ball Creator,2002
830,RUTHIE BOLTON,SAC,Primary On-Ball Creator,2002
829,NYKESHA SALES,ORL,Primary On-Ball Creator,2002
828,NIKKI TEASLEY,LAS,Spot-up Shooter,2002
827,NIKKI MCCRAY,IND,Primary On-Ball Creator,2002
826,NICKY MCCRIMMON,LAS,Secondary Creator/Distributor,2002
825,MWADI MABIKA,LAS,Primary On-Ball Creator,2002
824,MURRIEL PAGE,WAS,Perimeter-Oriented Big,2002
823,MICHELLE SNOW,HOU,Perimeter-Oriented Big,2002
821,MERLAKIA JONES,CLE,Primary On-Ball Creator,2002
810,JANETH ARCAIN,HOU,Primary On-Ball Creator,2002
820,MARIE FERDINAND-HARRIS,UTA,Primary On-Ball Creator,2002
819,LISA HARRISON,PHO,Perimeter-Oriented Big,2002
818,LADY GROOMS,SAC,Roller/Cutter,2002
817,LA'KESHIA FRETT,SAC,Perimeter-Oriented Big,2002
816,KRISTIN FOLKL,POR,Roller/Cutter,2002
815,KELLY MILLER,CHA,Primary On-Ball Creator,2002
814,KEDRA HOLLAND-CORN,SAC,Spot-up Shooter,2002
813,KATIE DOUGLAS,ORL,Spot-up Shooter,2002
812,KAMILA VODICHKOVA,SEA,Perimeter-Oriented Big,2002
811,JENNIFER AZZI,UTA,Spot-up Shooter,2002
887,RITA WILLIAMS,HOU,Spot-up Shooter,2002
880,SANDY BRONDELLO,MIA,Primary On-Ball Creator,2002
889,SHAUNZINSKI GORTMAN,MIN,Spot-up Shooter,2002
940,JACKIE MOORE,IND,Roller/Cutter,2002
965,OKSANA ZAKALUZHNAYA,PHO,Roller/Cutter,2002
963,BEGONA GARCIA,DET,Secondary Creator/Distributor,2002
962,SHANELE STIRES,MIN,Perimeter-Oriented Big,2002
961,JAMIE REDD,SEA,Spot-up Shooter,2002
960,ZUZANA KLIMESOVA,IND,Roller/Cutter,2002
959,ERIKA DE SOUZA,LAS,Roller/Cutter,2002
958,VEDRANA GRGIN FONSECA,LAS,Spot-up Shooter,2002
957,STACY CLINESMITH,DET,Secondary Creator/Distributor,2002
956,KELLY SANTOS,DET,Roller/Cutter,2002
955,TAJ MCWILLIAMS-FRANKLIN,ORL,Perimeter-Oriented Big,2002
954,TAKEISHA LEWIS,SEA,Roller/Cutter,2002
953,KARA WOLTERS,SAC,Roller/Cutter,2002
952,LINDSEY YAMASAKI,MIA,Spot-up Shooter,2002
951,AUDREY SAURET,WAS,Secondary Creator/Distributor,2002
950,TIFFANY MCCAIN,ORL,Perimeter-Oriented Big,2002
949,LINDA FROHLICH,NYL,Secondary Creator/Distributor,2002
948,KORIE HLEDE,NYL,Secondary Creator/Distributor,2002
947,YOLANDA GRIFFITH,SAC,Interior Primary Option,2002
946,TYNESHA LEWIS,HOU,Perimeter-Oriented Big,2002
945,LAQUANDA QUICK,POR,Primary On-Ball Creator,2002
944,TRICIA BADER BINFORD,CLE,Secondary Creator/Distributor,2002
943,MONICA MAXWELL,IND,Spot-up Shooter,2002
942,MAREN WALSETH,WAS,Secondary Creator/Distributor,2002
966,BERNADETTE NGOYISA,NYL,Roller/Cutter,2002
967,KEISHA ANDERSON,CHA,Perimeter-Oriented Big,2002
968,DAVALYN CUNNINGHAM,ORL,Roller/Cutter,2002
981,VICKI HALL,LAS,Roller/Cutter,2002
890,TINA THOMPSON,HOU,Primary On-Ball Creator,2002
990,PAIGE SAUER,CLE,Roller/Cutter,2002
989,ELENA SHAKIROVA,CHA,Roller/Cutter,2002
988,EDNA CAMPBELL,SAC,Spot-up Shooter,2002
987,SHANTIA OWENS,CHA,Roller/Cutter,2002
986,QUACY BARNES,PHO,Roller/Cutter,2002
985,MONIQUE AMBERS,SAC,Roller/Cutter,2002
984,KATRYNA GAITHER,WAS,Secondary Creator/Distributor,2002
983,CAROLYN MOOS,MIA,Roller/Cutter,2002
982,CARLA MCGHEE,ORL,Interior Primary Option,2002
980,SHEILA LAMBERT,CHA,Roller/Cutter,2002
969,TRISHA STAFFORD-ODOM,MIA,Roller/Cutter,2002
979,SHEA MAHONEY,PHO,Roller/Cutter,2002
978,TAUSHA MILLS,WAS,Roller/Cutter,2002
977,SHALONDA ENIS,CHA,Roller/Cutter,2002
976,DANIELLE MCCULLEY,SEA,Roller/Cutter,2002
975,TAMMY JACKSON,HOU,Roller/Cutter,2002
974,STACEY FORD,SAC,Roller/Cutter,2002
973,LUCIENNE BERTHIEU,CLE,Roller/Cutter,2002
972,JENNY MOWE,POR,Roller/Cutter,2002
971,BRANDY REED,PHO,Primary On-Ball Creator,2002
970,VAL WHITING,MIN,Roller/Cutter,2002
941,KIESHA BROWN,WAS,Secondary Creator/Distributor,2002
964,LANEISHEA CAUFIELD,UTA,Spot-up Shooter,2002
939,DEANNA JACKSON,CLE,Roller/Cutter,2002
902,KRISTI HARROWER,MIN,Spot-up Shooter,2002
912,RUTH RILEY,MIA,Roller/Cutter,2002
911,MARLIES ASKAMP,LAS,Roller/Cutter,2002
910,LATASHA BYEARS,LAS,Roller/Cutter,2002
909,JENNIFER RIZZOTTI,CLE,Spot-up Shooter,2002
908,CINTIA DOS SANTOS,ORL,Roller/Cutter,2002
907,ANNIE BURGESS,WAS,Secondary Creator/Distributor,2002
906,ADIA BARNES,SEA,Perimeter-Oriented Big,2002
905,TULLY BEVILAQUA,POR,Spot-up Shooter,2002
904,SVETLANA ABROSIMOVA,MIN,Primary On-Ball Creator,2002
903,LENAE WILLIAMS,DET,Spot-up Shooter,2002
901,RUSHIA BROWN,CLE,Roller/Cutter,2002
914,CASS BAUER-BILODEAU,SAC,Roller/Cutter,2002
900,LAUREN JACKSON,SEA,Primary On-Ball Creator,2002
899,LATONYA JOHNSON,UTA,Spot-up Shooter,2002
898,JAYNETTA SAUNDERS,PHO,Roller/Cutter,2002
897,ELISA AGUILAR,UTA,Spot-up Shooter,2002
896,EDWINA BROWN,DET,Secondary Creator/Distributor,2002
895,DOMINIQUE CANTY,DET,Secondary Creator/Distributor,2002
894,ANN WAUTERS,CLE,Interior Primary Option,2002
893,AMY HERRIG,UTA,Roller/Cutter,2002
892,VANESSA NYGAARD,MIA,Spot-up Shooter,2002
938,DANIELLE CROCKROM,UTA,Roller/Cutter,2002
913,SLOBODANKA TUVIC,PHO,Perimeter-Oriented Big,2002
891,TONYA EDWARDS,CHA,Spot-up Shooter,2002
915,TONYA MASSALINE,WAS,Perimeter-Oriented Big,2002
927,SUSANNA BONFIGLIO,PHO,Roller/Cutter,2002
916,ANDREA NAGY,SAC,Secondary Creator/Distributor,2002
936,KATE PAYE,SEA,Spot-up Shooter,2002
935,JILL CHAPMAN-DAILY,DET,Roller/Cutter,2002
934,IZIANE CASTRO MARQUES,MIA,Secondary Creator/Distributor,2002
933,CLAUDIA NEVES,MIA,Secondary Creator/Distributor,2002
932,CAROLYN YOUNG,POR,Spot-up Shooter,2002
931,CHAMIQUE HOLDSCLAW,WAS,Interior Primary Option,2002
930,AMBER HALL,POR,Roller/Cutter,2002
929,REBECCA LOBO,HOU,Perimeter-Oriented Big,2002
928,JACKIE STILES,POR,Spot-up Shooter,2002
937,ALICIA THOMPSON,IND,Perimeter-Oriented Big,2002
926,MICHELE VAN GORP,MIN,Perimeter-Oriented Big,2002
924,MICHELLE MARCINIAK,SEA,Secondary Creator/Distributor,2002
923,KRISTEN VEAL,PHO,Secondary Creator/Distributor,2002
922,HAMCHETOU MAIGA-BA,SAC,Roller/Cutter,2002
921,GRACE DALEY,HOU,Secondary Creator/Distributor,2002
920,CAMILLE COOPER,NYL,Roller/Cutter,2002
919,TRACY REID,PHO,Roller/Cutter,2002
918,TICHA PENICHEIRO,SAC,Secondary Creator/Distributor,2002
917,KATE STARBIRD,SEA,Spot-up Shooter,2002
925,TRACY HENDERSON,CLE,Roller/Cutter,2002
648,ANNIE BURGESS,WAS,Secondary Creator/Distributor,2001
631,SONJA HENNING,SEA,Secondary Creator/Distributor,2001
645,VICKIE JOHNSON,NYL,Primary On-Ball Creator,2001
646,VICKY BULLETT,WAS,Perimeter-Oriented Big,2001
647,YOLANDA GRIFFITH,SAC,Interior Primary Option,2001
652,LISA LESLIE,LAS,Interior Primary Option,2001
649,BARBARA FARRIS,DET,Roller/Cutter,2001
650,KARA WOLTERS,SAC,Roller/Cutter,2001
651,LADY GROOMS,SAC,Roller/Cutter,2001
643,TONYA EDWARDS,CHA,Secondary Creator/Distributor,2001
653,MAYLANA MARTIN,MIN,Perimeter-Oriented Big,2001
644,UKARI FIGGS,LAS,Spot-up Shooter,2001
638,TANGELA SMITH,SAC,Interior Primary Option,2001
642,TIFFANY MCCAIN,ORL,Spot-up Shooter,2001
641,TIFFANI JOHNSON,HOU,Roller/Cutter,2001
640,TERESA WEATHERSPOON,NYL,Secondary Creator/Distributor,2001
639,TARI PHILLIPS,NYL,Interior Primary Option,2001
637,TAMMY JACKSON,HOU,Roller/Cutter,2001
636,TAMIKA WHITMORE,NYL,Interior Primary Option,2001
635,TAMICHA JACKSON,POR,Secondary Creator/Distributor,2001
634,TAJ MCWILLIAMS-FRANKLIN,ORL,Interior Primary Option,2001
633,SYLVIA CRAWLEY,POR,Interior Primary Option,2001
655,NATALIE WILLIAMS,UTA,Interior Primary Option,2001
632,STACEY THOMAS,POR,Roller/Cutter,2001
654,NADINE MALCOLM,IND,Spot-up Shooter,2001
666,MERLAKIA JONES,CLE,Primary On-Ball Creator,2001
656,RUTHIE BOLTON,SAC,Spot-up Shooter,2001
670,STEPHANIE WHITE,IND,Spot-up Shooter,2001
629,SHERI SAM,MIA,Primary On-Ball Creator,2001
679,KRISTEN VEAL,PHO,Secondary Creator/Distributor,2001
678,KAMILA VODICHKOVA,SEA,Perimeter-Oriented Big,2001
677,JAE KINGI-CROSS,DET,Spot-up Shooter,2001
676,CHAMIQUE HOLDSCLAW,WAS,Primary On-Ball Creator,2001
675,TRISHA STAFFORD-ODOM,HOU,Roller/Cutter,2001
674,TONYA MASSALINE,WAS,Spot-up Shooter,2001
673,TINA THOMPSON,HOU,Primary On-Ball Creator,2001
672,TAUSHA MILLS,WAS,Roller/Cutter,2001
671,SUE WICKS,NYL,Roller/Cutter,2001
669,SLOBODANKA TUVIC,PHO,Roller/Cutter,2001
657,SOPHIA WITHERSPOON,POR,Primary On-Ball Creator,2001
668,RUSHIA BROWN,CLE,Perimeter-Oriented Big,2001
667,RHONDA MAPP,LAS,Roller/Cutter,2001
665,MARLIES ASKAMP,MIA,Roller/Cutter,2001
664,LA'KESHIA FRETT,SAC,Roller/Cutter,2001
663,KISHA FORD,MIA,Perimeter-Oriented Big,2001
662,CLARISSE MACHANGUANA,CHA,Roller/Cutter,2001
661,CHARLOTTE SMITH,CHA,Perimeter-Oriented Big,2001
660,VANESSA NYGAARD,POR,Spot-up Shooter,2001
659,TULLY BEVILAQUA,POR,Spot-up Shooter,2001
658,TRISHA FALLON,PHO,Perimeter-Oriented Big,2001
630,SIMONE EDWARDS,SEA,Roller/Cutter,2001
578,ALLISON FEASTER,CHA,Spot-up Shooter,2001
628,SHALONDA ENIS,CHA,Perimeter-Oriented Big,2001
627,SEMEKA RANDALL,SEA,Interior Primary Option,2001
600,HELEN LUZ,WAS,Spot-up Shooter,2001
599,HELEN DARLING,CLE,Spot-up Shooter,2001
598,ERIN PERPEROGLOU,MIN,Perimeter-Oriented Big,2001
597,ELENA TORNIKIDOU,DET,Primary On-Ball Creator,2001
596,ELENA BARANOVA,MIA,Primary On-Ball Creator,2001
595,ELAINE POWELL,ORL,Primary On-Ball Creator,2001
594,EDWINA BROWN,DET,Secondary Creator/Distributor,2001
593,EDNA CAMPBELL,SAC,Spot-up Shooter,2001
592,DOMINIQUE CANTY,DET,Perimeter-Oriented Big,2001
591,DEBBIE BLACK,MIA,Perimeter-Oriented Big,2001
590,DELISHA MILTON-JONES,LAS,Perimeter-Oriented Big,2001
589,DAWN STALEY,CHA,Secondary Creator/Distributor,2001
588,CRYSTAL ROBINSON,NYL,Spot-up Shooter,2001
587,COQUESE WASHINGTON,HOU,Spot-up Shooter,2001
586,CHARMIN SMITH,SEA,Spot-up Shooter,2001
585,BROOKE WYCKOFF,ORL,Perimeter-Oriented Big,2001
584,BRIDGET PETTIS,PHO,Spot-up Shooter,2001
583,BECKY HAMMON,NYL,Spot-up Shooter,2001
582,ASTOU NDIAYE-DIATTA,DET,Interior Primary Option,2001
581,ANDREA STINSON,CHA,Primary On-Ball Creator,2001
580,AMY HERRIG,UTA,Roller/Cutter,2001
579,AMANDA LASSITER,HOU,Spot-up Shooter,2001
681,SANDY BRONDELLO,MIA,Primary On-Ball Creator,2001
601,JACKIE STILES,POR,Primary On-Ball Creator,2001
602,JAMIE REDD,SEA,Primary On-Ball Creator,2001
603,JANETH ARCAIN,HOU,Primary On-Ball Creator,2001
616,MARIA STEPANOVA,PHO,Interior Primary Option,2001
626,RUTH RILEY,MIA,Roller/Cutter,2001
625,RITA WILLIAMS,IND,Primary On-Ball Creator,2001
624,PENNY TAYLOR,CLE,Primary On-Ball Creator,2001
623,OLYMPIA SCOTT,IND,Roller/Cutter,2001
622,NYKESHA SALES,ORL,Primary On-Ball Creator,2001
621,NIKKI MCCRAY,WAS,Primary On-Ball Creator,2001
620,NIELE IVEY,IND,Spot-up Shooter,2001
619,MURRIEL PAGE,WAS,Perimeter-Oriented Big,2001
618,MERY ANDRADE,CLE,Secondary Creator/Distributor,2001
617,MARIE FERDINAND-HARRIS,UTA,Primary On-Ball Creator,2001
615,MARGO DYDEK,UTA,Interior Primary Option,2001
604,JENNIFER AZZI,UTA,Spot-up Shooter,2001
614,LYNN PRIDE,MIN,Roller/Cutter,2001
613,LISA HARRISON,PHO,Perimeter-Oriented Big,2001
612,LATASHA BYEARS,LAS,Interior Primary Option,2001
611,KRISTIN FOLKL,POR,Perimeter-Oriented Big,2001
610,KEDRA HOLLAND-CORN,SAC,Spot-up Shooter,2001
609,KATIE SMITH,MIN,Primary On-Ball Creator,2001
608,KATE PAYE,MIN,Spot-up Shooter,2001
607,JESSIE HICKS,ORL,Roller/Cutter,2001
606,JENNIFER RIZZOTTI,CLE,Spot-up Shooter,2001
605,JENNIFER GILLOM,PHO,Primary On-Ball Creator,2001
680,LAUREN JACKSON,SEA,Primary On-Ball Creator,2001
777,MACTABENE AMACHREE,NYL,Roller/Cutter,2001
682,TAMECKA DIXON,LAS,Primary On-Ball Creator,2001
747,KATRINA COLLETON,MIA,Roller/Cutter,2001
757,DANIELLE MCCULLEY,IND,Perimeter-Oriented Big,2001
756,MICHAELA PAVLICKOVA,UTA,Roller/Cutter,2001
755,CINTIA DOS SANTOS,ORL,Roller/Cutter,2001
754,ALESSANDRA SANTOS DE OLIVE,SEA,Roller/Cutter,2001
753,CINDY BLODGETT,SAC,Secondary Creator/Distributor,2001
752,BETTY LENNOX,MIN,Primary On-Ball Creator,2001
751,ILONA KORSTINE,PHO,Perimeter-Oriented Big,2001
750,WENDI WILLITS,LAS,Spot-up Shooter,2001
749,NICOLE LEVANDUSKY,LAS,Spot-up Shooter,2001
748,KELLY SANTOS,DET,Roller/Cutter,2001
746,MONICA MAXWELL,IND,Spot-up Shooter,2001
759,KATARINA LAZIC,NYL,Roller/Cutter,2001
745,GRACE DALEY,NYL,Perimeter-Oriented Big,2001
744,CASS BAUER-BILODEAU,WAS,Roller/Cutter,2001
743,CARA CONSUEGRA,UTA,Secondary Creator/Distributor,2001
742,STACY CLINESMITH,SAC,Spot-up Shooter,2001
741,REBECCA LOBO,NYL,Perimeter-Oriented Big,2001
740,JACLYN JOHNSON,ORL,Perimeter-Oriented Big,2001
739,CARLA MCGHEE,ORL,Roller/Cutter,2001
738,SUMMER ERB,CHA,Roller/Cutter,2001
737,SHANELE STIRES,MIN,Spot-up Shooter,2001
736,POLLYANNA JOHNS KIMBROUGH,CLE,Roller/Cutter,2001
758,EVA NEMCOVA,CLE,Spot-up Shooter,2001
760,ADRIANA MOISES PINTO,PHO,Secondary Creator/Distributor,2001
734,TRICIA BADER BINFORD,CLE,Spot-up Shooter,2001
773,MICHELLE EDWARDS,SEA,Secondary Creator/Distributor,2001
683,TAMMY SUTTON-BROWN,CHA,Roller/Cutter,2001
783,RESHEA BRISTOL,CHA,Roller/Cutter,2001
782,PAT LUCKEY,PHO,Secondary Creator/Distributor,2001
781,DANA WYNNE,SAC,Roller/Cutter,2001
780,BRANDY REED,PHO,Secondary Creator/Distributor,2001
779,ANGELINA WOLVERT,CLE,Roller/Cutter,2001
778,PAIGE SAUER,CLE,Interior Primary Option,2001
776,LEVYS TORRES,MIA,Secondary Creator/Distributor,2001
775,TAMARA STOCKS,WAS,Roller/Cutter,2001
774,NICOLE KUBIK,PHO,Secondary Creator/Distributor,2001
772,E.C. HILL,PHO,Secondary Creator/Distributor,2001
761,LAQUANDA QUICK,POR,Perimeter-Oriented Big,2001
771,ADIA BARNES,CLE,Roller/Cutter,2001
770,MICHELLE CLEARY,PHO,Secondary Creator/Distributor,2001
769,MAREN WALSETH,SAC,Roller/Cutter,2001
768,KRISTI HARROWER,MIN,Secondary Creator/Distributor,2001
767,KEITHA DICKERSON,UTA,Secondary Creator/Distributor,2001
766,JENNIFER WHITTLE,WAS,Secondary Creator/Distributor,2001
765,HAJDANA RADUNOVIC,NYL,Roller/Cutter,2001
764,CAMILLE COOPER,NYL,Roller/Cutter,2001
763,MARKITA ALDRIDGE,WAS,Secondary Creator/Distributor,2001
762,JENNY MOWE,POR,Roller/Cutter,2001
735,KEISHA ANDERSON,CHA,Secondary Creator/Distributor,2001
784,STACEY FORD,NYL,Roller/Cutter,2001
733,QUACY BARNES,SEA,Perimeter-Oriented Big,2001
695,JURGITA STREIMIKYTE,IND,Roller/Cutter,2001
705,SHANNON JOHNSON,ORL,Primary On-Ball Creator,2001
704,LATONYA JOHNSON,UTA,Spot-up Shooter,2001
703,KELLY MILLER,CHA,Spot-up Shooter,2001
702,KATY STEDING,SEA,Spot-up Shooter,2001
701,ELENA SHAKIROVA,HOU,Roller/Cutter,2001
700,ALISA BURRAS,POR,Roller/Cutter,2001
699,VICKI HALL,IND,Perimeter-Oriented Big,2001
698,MICHELLE MARCINIAK,SEA,Secondary Creator/Distributor,2001
697,MARLA BRUMFIELD,MIA,Secondary Creator/Distributor,2001
696,KORIE HLEDE,UTA,Perimeter-Oriented Big,2001
694,GORDANA GRUBIN,IND,Primary On-Ball Creator,2001
707,TOWANA ALHALEEM,ORL,Perimeter-Oriented Big,2001
693,DEANNA NOLAN,DET,Primary On-Ball Creator,2001
692,CHASITY MELVIN,CLE,Interior Primary Option,2001
691,NICKY MCCRIMMON,LAS,Secondary Creator/Distributor,2001
690,MWADI MABIKA,LAS,Spot-up Shooter,2001
689,KRISTEN RASMUSSEN,MIA,Perimeter-Oriented Big,2001
688,KELLY SCHUMACHER,IND,Perimeter-Oriented Big,2001
687,KELLEY GIBSON,HOU,Perimeter-Oriented Big,2001
686,JAYNETTA SAUNDERS,PHO,Perimeter-Oriented Big,2001
685,ADRIENNE GOODSON,UTA,Interior Primary Option,2001
732,JANELL BURSE,MIN,Roller/Cutter,2001
706,SVETLANA ABROSIMOVA,MIN,Primary On-Ball Creator,2001
684,TYNESHA LEWIS,HOU,Perimeter-Oriented Big,2001
708,VAL WHITING,MIN,Roller/Cutter,2001
721,ALICIA THOMPSON,IND,Primary On-Ball Creator,2001
709,ADRIAN WILLIAMS-STRONG,PHO,Roller/Cutter,2001
730,TRACY REID,MIA,Roller/Cutter,2001
729,MICHELE TIMMS,PHO,Spot-up Shooter,2001
728,DEMYA WALKER,POR,Interior Primary Option,2001
727,CARLA BOYD,DET,Spot-up Shooter,2001
726,WENDY PALMER,DET,Interior Primary Option,2001
725,STACEY LOVELACE,SEA,Spot-up Shooter,2001
724,MICHELE VAN GORP,MIN,Roller/Cutter,2001
723,KATIE DOUGLAS,ORL,Secondary Creator/Distributor,2001
722,CLAUDIA NEVES,DET,Spot-up Shooter,2001
731,COCO MILLER,WAS,Secondary Creator/Distributor,2001
720,TICHA PENICHEIRO,SAC,Secondary Creator/Distributor,2001
714,ANDREA NAGY,NYL,Secondary Creator/Distributor,2001
710,AUDREY SAURET,WAS,Secondary Creator/Distributor,2001
719,RACHAEL SPORN,DET,Roller/Cutter,2001
712,GEORGIA SCHWEITZER,MIN,Spot-up Shooter,2001
713,VEDRANA GRGIN FONSECA,LAS,Perimeter-Oriented Big,2001
711,ANN WAUTERS,CLE,Roller/Cutter,2001
715,ANGIE BRAZIEL,IND,Roller/Cutter,2001
716,CAROLYN YOUNG,POR,Primary On-Ball Creator,2001
717,KATE STARBIRD,UTA,Spot-up Shooter,2001
718,NEKESHIA HENDERSON,HOU,Spot-up Shooter,2001
438,CARLA MCGHEE,ORL,Roller/Cutter,2000
447,SHERI SAM,MIA,Primary On-Ball Creator,2000
446,SHANTIA OWENS,MIA,Roller/Cutter,2000
445,QUACY BARNES,SEA,Interior Primary Option,2000
444,LISA HARRISON,PHO,Perimeter-Oriented Big,2000
443,KORIE HLEDE,UTA,Primary On-Ball Creator,2000
442,KARA WOLTERS,IND,Interior Primary Option,2000
441,HELEN DARLING,CLE,Secondary Creator/Distributor,2000
440,CYNTHIA COOPER,HOU,Primary On-Ball Creator,2000
439,CLARISSE MACHANGUANA,LAS,Roller/Cutter,2000
427,TIFFANY TRAVIS,CHA,Perimeter-Oriented Big,2000
437,ANN WAUTERS,CLE,Roller/Cutter,2000
436,ALICIA THOMPSON,IND,Perimeter-Oriented Big,2000
435,YOLANDA GRIFFITH,SAC,Interior Primary Option,2000
434,WENDY PALMER,DET,Interior Primary Option,2000
433,VICKY BULLETT,WAS,Perimeter-Oriented Big,2000
432,VANESSA NYGAARD,POR,Spot-up Shooter,2000
431,UKARI FIGGS,LAS,Spot-up Shooter,2000
430,TULLY BEVILAQUA,POR,Spot-up Shooter,2000
429,TONYA EDWARDS,PHO,Primary On-Ball Creator,2000
428,TINA THOMPSON,HOU,Primary On-Ball Creator,2000
449,SYLVIA CRAWLEY,POR,Interior Primary Option,2000
426,TERESA WEATHERSPOON,NYL,Secondary Creator/Distributor,2000
448,SHERYL SWOOPES,HOU,Primary On-Ball Creator,2000
460,JENNIFER GILLOM,PHO,Interior Primary Option,2000
450,TAMECKA DIXON,LAS,Primary On-Ball Creator,2000
464,RHONDA MAPP,CHA,Interior Primary Option,2000
473,KATY STEDING,SAC,Spot-up Shooter,2000
424,TAMIKA WHITMORE,NYL,Interior Primary Option,2000
472,KATE STARBIRD,UTA,Secondary Creator/Distributor,2000
471,JOY HOLMES,DET,Perimeter-Oriented Big,2000
470,GORDANA GRUBIN,IND,Primary On-Ball Creator,2000
469,DANIELLE MCCULLEY,IND,Interior Primary Option,2000
468,CASS BAUER-BILODEAU,CHA,Roller/Cutter,2000
467,ADRIENNE GOODSON,UTA,Interior Primary Option,2000
466,TICHA PENICHEIRO,SAC,Secondary Creator/Distributor,2000
465,RUSHIA BROWN,CLE,Interior Primary Option,2000
463,MAYLANA MARTIN,MIN,Perimeter-Oriented Big,2000
451,TARI PHILLIPS,NYL,Interior Primary Option,2000
462,LADY GROOMS,SAC,Roller/Cutter,2000
461,KEISHA ANDERSON,WAS,Secondary Creator/Distributor,2000
459,GRACE DALEY,MIN,Secondary Creator/Distributor,2000
458,DEMYA WALKER,POR,Roller/Cutter,2000
457,CLAUDIA NEVES,DET,Spot-up Shooter,2000
456,CHARLOTTE SMITH,CHA,Perimeter-Oriented Big,2000
455,VICKIE JOHNSON,NYL,Primary On-Ball Creator,2000
454,VICKI HALL,CLE,Perimeter-Oriented Big,2000
453,TIFFANI JOHNSON,HOU,Roller/Cutter,2000
452,TAUSHA MILLS,WAS,Roller/Cutter,2000
425,TANGELA SMITH,SAC,Interior Primary Option,2000
399,LATASHA BYEARS,SAC,Perimeter-Oriented Big,2000
423,TAJ MCWILLIAMS-FRANKLIN,ORL,Interior Primary Option,2000
385,CHASITY MELVIN,CLE,Interior Primary Option,2000
394,KATIE SMITH,MIN,Primary On-Ball Creator,2000
393,JENNIFER RIZZOTTI,HOU,Spot-up Shooter,2000
392,JANETH ARCAIN,HOU,Perimeter-Oriented Big,2000
391,ELENA TORNIKIDOU,DET,Perimeter-Oriented Big,2000
390,EDWINA BROWN,DET,Perimeter-Oriented Big,2000
389,DEBBIE BLACK,MIA,Secondary Creator/Distributor,2000
388,DELISHA MILTON-JONES,LAS,Interior Primary Option,2000
374,ADRIENNE JOHNSON,ORL,Primary On-Ball Creator,2000
387,DAWN STALEY,CHA,Secondary Creator/Distributor,2000
386,CINTIA DOS SANTOS,ORL,Roller/Cutter,2000
384,CHARMIN SMITH,SEA,Spot-up Shooter,2000
396,KEDRA HOLLAND-CORN,SAC,Spot-up Shooter,2000
383,CHAMIQUE HOLDSCLAW,WAS,Interior Primary Option,2000
382,BRIDGET PETTIS,PHO,Spot-up Shooter,2000
381,BRANDY REED,PHO,Primary On-Ball Creator,2000
380,BETTY LENNOX,MIN,Primary On-Ball Creator,2000
379,BECKY HAMMON,NYL,Spot-up Shooter,2000
378,ASTOU NDIAYE-DIATTA,DET,Interior Primary Option,2000
377,ANDREA STINSON,CHA,Primary On-Ball Creator,2000
376,ANDREA GARNER,SEA,Perimeter-Oriented Big,2000
375,ALLISON FEASTER,LAS,Spot-up Shooter,2000
475,MARKITA ALDRIDGE,WAS,Perimeter-Oriented Big,2000
395,KATRINA COLLETON,MIA,Primary On-Ball Creator,2000
397,KEITHA DICKERSON,MIN,Roller/Cutter,2000
422,SUZIE MCCONNELL SERIO,CLE,Spot-up Shooter,2000
411,MWADI MABIKA,LAS,Primary On-Ball Creator,2000
421,SUE WICKS,NYL,Perimeter-Oriented Big,2000
420,STEPHANIE WHITE,IND,Spot-up Shooter,2000
419,STACEY THOMAS,POR,Secondary Creator/Distributor,2000
418,SOPHIA WITHERSPOON,POR,Primary On-Ball Creator,2000
417,SONJA HENNING,SEA,Spot-up Shooter,2000
416,SHANNON JOHNSON,ORL,Primary On-Ball Creator,2000
415,RITA WILLIAMS,IND,Primary On-Ball Creator,2000
414,NYKESHA SALES,ORL,Primary On-Ball Creator,2000
413,NIKKI MCCRAY,WAS,Primary On-Ball Creator,2000
412,NICKY MCCRIMMON,LAS,Spot-up Shooter,2000
410,MURRIEL PAGE,WAS,Roller/Cutter,2000
398,KRISTIN FOLKL,MIN,Perimeter-Oriented Big,2000
409,MONICA MAXWELL,IND,Spot-up Shooter,2000
408,MILENA FLORES,MIA,Spot-up Shooter,2000
407,MICHELLE MARCINIAK,POR,Secondary Creator/Distributor,2000
